collection_date,RSV_sunnyvale,RSV_oceanside,RSV_palo_alto,RSV_san_jose,RSV_silicon_valley,RSV_southeast_san_francisco,Test_sunny,Test_Oceanside,Test_Palo,Test_san,Test_silcon,Test_south,Positive_sunny,Positive_Oceanside,Positive_Palo,Positive_san,Positive_silcon,Positive_south,,,RSV_sunnyvale,RSV_oceanside,RSV_palo_alto,RSV_san_jose,RSV_silicon_valley,RSV_southeast_san_francisco
2022/3/25,3126.976,500,1552.04,1133.738,23193.49,,1,1,1,1,1,0,1,0,1,1,1,0,,,3126.976,500,1552.04,1133.738,23193.49,
2022/3/26,1441.56,2331.134,8013.411,2946.551,3759.15,,1,1,1,1,1,0,1,1,1,1,1,0,,,1441.56,2331.134,8013.411,2946.551,3759.15,
2022/3/27,2552.982,794.682,4043.044,1862.228,500,,1,1,1,1,1,0,1,1,1,1,0,0,,,2552.982,794.682,4043.044,1862.228,500,
2022/3/28,3699.423,500,4442.959,2021.648,500,,1,1,1,1,1,0,1,0,1,1,0,0,,,3699.423,500,4442.959,2021.648,500,
2022/3/29,9220.218,2638.691,3186.968,3074.155,6575.532,,1,1,1,1,1,0,1,1,1,1,1,0,,,9220.218,2638.691,3186.968,3074.155,6575.532,
2022/3/30,5070.726,3927.076,500,6464.17,500,,1,1,1,1,1,0,1,1,0,1,0,0,,,5070.726,3927.076,500,6464.17,500,
2022/3/31,3650.086,,500,3620.707,500,,1,0,1,1,1,0,1,0,0,1,0,0,,,3650.086,,500,3620.707,500,
2022/4/1,1791.332,1135.047,1910.242,500,3158.291,,1,1,1,1,1,0,1,1,1,0,1,0,,,1791.332,1135.047,1910.242,500,3158.291,
2022/4/2,14734.01,2312.695,37160.71,2974.074,12985.28,,1,1,1,1,1,0,1,1,1,1,1,0,,,14734.01,2312.695,37160.71,2974.074,12985.28,
2022/4/3,1770.449,,3121.186,882.6768,500,,1,0,1,1,1,0,1,0,1,1,0,0,,,1770.449,,3121.186,882.6768,500,
2022/4/4,1654.001,1581.21,6234.671,500,2380.931,,1,1,1,1,1,0,1,1,1,0,1,0,,,1654.001,1581.21,6234.671,500,2380.931,
2022/4/5,15499.83,500,1280.77,1599.124,1438.169,,1,1,1,1,1,0,1,0,1,1,1,0,,,15499.83,500,1280.77,1599.124,1438.169,
2022/4/6,10170.78,,500,939.7818,500,,1,0,1,1,1,0,1,0,0,1,0,0,,,10170.78,,500,939.7818,500,
2022/4/7,1861.818,737.3065,500,2565.622,500,,1,1,1,1,1,0,1,1,0,1,0,0,,,1861.818,737.3065,500,2565.622,500,
2022/4/8,1985.903,6712.276,2933.846,500,6182.792,,1,1,1,1,1,0,1,1,1,0,1,0,,,1985.903,6712.276,2933.846,500,6182.792,
2022/4/9,1546.816,2271.146,2049.382,500,500,,1,1,1,1,1,0,1,1,1,0,0,0,,,1546.816,2271.146,2049.382,500,500,
2022/4/10,500,14918.98,500,500,6714.834,,1,1,1,1,1,0,0,1,0,0,1,0,,,500,14918.98,500,500,6714.834,
2022/4/11,1392.411,4998.286,500,2420.485,18864.32,,1,1,1,1,1,0,1,1,0,1,1,0,,,1392.411,4998.286,500,2420.485,18864.32,
2022/4/12,1254.286,896.0841,500,2406.551,500,,1,1,1,1,1,0,1,1,0,1,0,0,,,1254.286,896.0841,500,2406.551,500,
2022/4/13,2312.763,2340.782,1736.46,994.3512,500,,1,1,1,1,1,0,1,1,1,1,0,0,,,2312.763,2340.782,1736.46,994.3512,500,
2022/4/14,500,500,1489.112,500,500,,1,1,1,1,1,0,0,0,1,0,0,0,,,500,500,1489.112,500,500,
2022/4/15,500,500,500,500,500,,1,1,1,1,1,0,0,0,0,0,0,0,,,500,500,500,500,500,
2022/4/16,1085.401,1176.932,1683.901,500,500,,1,1,1,1,1,0,1,1,1,0,0,0,,,1085.401,1176.932,1683.901,500,500,
2022/4/17,500,1562.368,500,3723.49,1971.628,,1,1,1,1,1,0,0,1,0,1,1,0,,,500,1562.368,500,3723.49,1971.628,
2022/4/18,11346.53,25230.52,500,715.3511,3250.381,,1,1,1,1,1,0,1,1,0,1,1,0,,,11346.53,25230.52,500,715.3511,3250.381,
2022/4/19,3365.152,2447.973,1286.615,2070.305,10551.74,,1,1,1,1,1,0,1,1,1,1,1,0,,,3365.152,2447.973,1286.615,2070.305,10551.74,
2022/4/20,1137.295,500,500,1704.562,2386.139,,1,1,1,1,1,0,1,0,0,1,1,0,,,1137.295,500,500,1704.562,2386.139,
2022/4/21,2038.067,500,500,1199.502,2734.105,,1,1,1,1,1,0,1,0,0,1,1,0,,,2038.067,500,500,1199.502,2734.105,
2022/4/22,1062.729,1777.207,1986.4,1432.819,3494.465,,1,1,1,1,1,0,1,1,1,1,1,0,,,1062.729,1777.207,1986.4,1432.819,3494.465,
2022/4/23,858.0893,1612.824,500,5717.172,2515.229,,1,1,1,1,1,0,1,1,0,1,1,0,,,858.0893,1612.824,500,5717.172,2515.229,
2022/4/24,1534.454,500,1666.219,5538.557,500,,1,1,1,1,1,0,1,0,1,1,0,0,,,1534.454,500,1666.219,5538.557,500,
2022/4/25,1019.294,500,2090.687,1698.461,500,,1,1,1,1,1,0,1,0,1,1,0,0,,,1019.294,500,2090.687,1698.461,500,
2022/4/26,500,500,500,3231.895,500,,1,1,1,1,1,0,0,0,0,1,0,0,,,500,500,500,3231.895,500,
2022/4/27,1373.276,500,500,2209.664,500,,1,1,1,1,1,0,1,0,0,1,0,0,,,1373.276,500,500,2209.664,500,
2022/4/28,27734.78,500,4557.552,500,500,,1,1,1,1,1,0,1,0,1,0,0,0,,,27734.78,500,4557.552,500,500,
2022/4/29,500,500,500,2599.435,500,,1,1,1,1,1,0,0,0,0,1,0,0,,,500,500,500,2599.435,500,
2022/4/30,500,500,6675.107,1765.012,500,,1,1,1,1,1,0,0,0,1,1,0,0,,,500,500,6675.107,1765.012,500,
2022/5/1,500,4025.566,2019.329,9545.419,500,,1,1,1,1,1,0,0,1,1,1,0,0,,,500,4025.566,2019.329,9545.419,500,
2022/5/2,500,868.2036,1955.728,4769.768,500,,1,1,1,1,1,0,0,1,1,1,0,0,,,500,868.2036,1955.728,4769.768,500,
2022/5/3,15334.15,500,500,500,500,,1,1,1,1,1,0,1,0,0,0,0,0,,,15334.15,500,500,500,500,
2022/5/4,1097.937,500,1436.323,11444.76,500,,1,1,1,1,1,0,1,0,1,1,0,0,,,1097.937,500,1436.323,11444.76,500,
2022/5/5,,3164.243,500,2470.244,500,,0,1,1,1,1,0,0,1,0,1,0,0,,,,3164.243,500,2470.244,500,
2022/5/6,500,500,1679.164,2004.156,500,,1,1,1,1,1,0,0,0,1,1,0,0,,,500,500,1679.164,2004.156,500,
2022/5/7,1304.158,500,500,2903.973,500,,1,1,1,1,1,0,1,0,0,1,0,0,,,1304.158,500,500,2903.973,500,
2022/5/8,2560.979,500,500,1355.572,500,,1,1,1,1,1,0,1,0,0,1,0,0,,,2560.979,500,500,1355.572,500,
2022/5/9,2379.361,500,500,1609.998,500,,1,1,1,1,1,0,1,0,0,1,0,0,,,2379.361,500,500,1609.998,500,
2022/5/10,2263.567,500,500,3186.48,2462.2,,1,1,1,1,1,0,1,0,0,1,1,0,,,2263.567,500,500,3186.48,2462.2,
2022/5/11,2673.574,500,1417.433,12352.61,500,,1,1,1,1,1,0,1,0,1,1,0,0,,,2673.574,500,1417.433,12352.61,500,
2022/5/12,1959.079,500,500,8385.313,500,,1,1,1,1,1,0,1,0,0,1,0,0,,,1959.079,500,500,8385.313,500,
2022/5/13,1927.165,500,500,1424.596,1625.453,,1,1,1,1,1,0,1,0,0,1,1,0,,,1927.165,500,500,1424.596,1625.453,
2022/5/14,1612.552,500,500,9454.453,1679.335,,1,1,1,1,1,0,1,0,0,1,1,0,,,1612.552,500,500,9454.453,1679.335,
2022/5/15,2606.641,500,500,1576.432,2433.188,,1,1,1,1,1,0,1,0,0,1,1,0,,,2606.641,500,500,1576.432,2433.188,
2022/5/16,4122.987,9435.147,500,500,500,,1,1,1,1,1,0,1,1,0,0,0,0,,,4122.987,9435.147,500,500,500,
2022/5/17,2039.633,500,500,776.8712,500,,1,1,1,1,1,0,1,0,0,1,0,0,,,2039.633,500,500,776.8712,500,
2022/5/18,2662.163,500,500,2698.724,500,,1,1,1,1,1,0,1,0,0,1,0,0,,,2662.163,500,500,2698.724,500,
2022/5/19,2357.925,500,2195.042,832.0815,500,,1,1,1,1,1,0,1,0,1,1,0,0,,,2357.925,500,2195.042,832.0815,500,
2022/5/20,2531.547,500,19985.6,1160.853,500,500,1,1,1,1,1,1,1,0,1,1,0,0,,,2531.547,500,19985.6,1160.853,500,500
2022/5/21,925.827,500,500,2799.9,500,500,1,1,1,1,1,1,1,0,0,1,0,0,,,925.827,500,500,2799.9,500,500
2022/5/22,929.3527,500,500,4783.158,1168.847,500,1,1,1,1,1,1,1,0,0,1,1,0,,,929.3527,500,500,4783.158,1168.847,500
2022/5/23,2064.593,980.0776,500,1525.851,500,500,1,1,1,1,1,1,1,1,0,1,0,0,,,2064.593,980.0776,500,1525.851,500,500
2022/5/24,1457.396,3627.993,500,500,500,500,1,1,1,1,1,1,1,1,0,0,0,0,,,1457.396,3627.993,500,500,500,500
2022/5/25,4030.675,2932.873,500,9898.089,500,11258.27,1,1,1,1,1,1,1,1,0,1,0,1,,,4030.675,2932.873,500,9898.089,500,11258.27
2022/5/26,3048.282,2377.119,500,3169.138,500,500,1,1,1,1,1,1,1,1,0,1,0,0,,,3048.282,2377.119,500,3169.138,500,500
2022/5/27,2250.309,500,500,2300.081,500,500,1,1,1,1,1,1,1,0,0,1,0,0,,,2250.309,500,500,2300.081,500,500
2022/5/28,500,500,1562.726,3039.491,500,2383.052,1,1,1,1,1,1,0,0,1,1,0,1,,,500,500,1562.726,3039.491,500,2383.052
2022/5/29,2199.793,500,5149.029,1839.419,500,500,1,1,1,1,1,1,1,0,1,1,0,0,,,2199.793,500,5149.029,1839.419,500,500
2022/5/30,7913.511,,7048.241,2268.81,1703.493,1035.531,1,0,1,1,1,1,1,0,1,1,1,1,,,7913.511,,7048.241,2268.81,1703.493,1035.531
2022/5/31,500,500,1207.233,2776.43,500,5214.113,1,1,1,1,1,1,0,0,1,1,0,1,,,500,500,1207.233,2776.43,500,5214.113
2022/6/1,1139.877,1508.421,4895.125,3373.997,14145.21,500,1,1,1,1,1,1,1,1,1,1,1,0,,,1139.877,1508.421,4895.125,3373.997,14145.21,500
2022/6/2,6808.721,1802.838,500,1179.548,500,500,1,1,1,1,1,1,1,1,0,1,0,0,,,6808.721,1802.838,500,1179.548,500,500
2022/6/3,1784.851,1176.194,9622.962,13183.63,2449.521,500,1,1,1,1,1,1,1,1,1,1,1,0,,,1784.851,1176.194,9622.962,13183.63,2449.521,500
2022/6/4,9330.633,1817.789,500,955.9549,1746.113,500,1,1,1,1,1,1,1,1,0,1,1,0,,,9330.633,1817.789,500,955.9549,1746.113,500
2022/6/5,1096.29,500,500,1547.34,500,500,1,1,1,1,1,1,1,0,0,1,0,0,,,1096.29,500,500,1547.34,500,500
2022/6/6,1817.513,1683.524,500,500,1961.772,1739.799,1,1,1,1,1,1,1,1,0,0,1,1,,,1817.513,1683.524,500,500,1961.772,1739.799
