collection_date,IAV_sunnyvale,IAV_oceanside,IAV_palo_alto,IAV_san_jose,IAV_silicon_valley,IAV_southeast_san_francisco,Test_sunny,Test_Oceanside,Test_Palo,Test_san,Test_silcon,Test_south,Positive_sunny,Positive_Oceanside,Positive_Palo,Positive_san,Positive_silcon,Positive_south
2022/3/30,1950.231502,2618.027331,4005.538092,1292.791799,500,,1,1,1,1,1,0,1,1,1,1,0,0
2022/3/31,6387.751141,,4269.456454,2413.77874,2881.489474,,1,0,1,1,1,0,1,0,1,1,1,0
2022/4/1,2814.979627,1891.753976,3820.528848,1412.296469,5263.849277,,1,1,1,1,1,0,1,1,1,1,1,0
2022/4/2,2326.15851,2023.603597,3557.168898,1351.831468,500,,1,1,1,1,1,0,1,1,1,1,0,0
2022/4/3,2276.30239,,2340.878266,882.676804,500,,1,0,1,1,1,0,1,0,1,1,0,0
2022/4/4,2481.02022,948.7211707,4007.947393,1901.905464,2976.170405,,1,1,1,1,1,0,1,1,1,1,1,0
2022/4/5,4078.591154,1180.665909,4269.313012,1599.123681,500,,1,1,1,1,1,0,1,1,1,1,0,0
2022/4/6,2392.965519,,5663.451298,5952.179844,500,,1,0,1,1,1,0,1,0,1,1,0,0
2022/4/7,2482.43641,983.077409,3307.073067,3335.331522,500,,1,1,1,1,1,0,1,1,1,1,0,0
2022/4/8,2978.882525,1342.40436,6234.556559,4846.481891,2649.742306,,1,1,1,1,1,0,1,1,1,1,1,0
2022/4/9,1804.62316,1297.787664,2732.515551,2261.887602,1323.071527,,1,1,1,1,1,0,1,1,1,1,1,0
2022/4/10,500,2797.114628,8040.4872,3281.237754,500,,1,1,1,1,1,0,0,1,1,1,0,0
2022/4/11,3829.205956,500,6162.17241,4538.481408,3143.924053,,1,1,1,1,1,0,1,0,1,1,1,0
2022/4/12,1003.426368,2986.992426,9006.0541,6685.113184,1887.338705,,1,1,1,1,1,0,1,1,1,1,1,0
2022/4/13,2312.76267,7490.713815,500,4971.942486,1724.284414,,1,1,1,1,1,0,1,1,0,1,1,0
2022/4/14,9453.45255,3028.972701,1116.831357,7478.375589,7798.542868,,1,1,1,1,1,0,1,1,1,1,1,0
2022/4/15,1711.078678,4109.634234,6221.587679,5758.225046,2477.666152,,1,1,1,1,1,0,1,1,1,1,1,0
