collection_date,RSV_Eastern,RSV_Northwest,RSV_South,Test_East,Test_North,Test_South,Positive_East,Positive_North,Positive_South
2022/5/15,6280.715786,500,500,1,1,1,1,0,0
2022/5/16,,,,0,0,0,0,0,0
2022/5/17,4029.660398,26969.39076,500,1,1,1,1,1,0
2022/5/18,,,,0,0,0,0,0,0
2022/5/19,500,500,500,1,1,1,0,0,0
2022/5/20,,,,0,0,0,0,0,0
2022/5/21,,,,0,0,0,0,0,0
2022/5/22,5846.685713,500,500,1,1,1,1,0,0
2022/5/23,,,,0,0,0,0,0,0
2022/5/24,500,500,500,1,1,1,0,0,0
2022/5/25,,,,0,0,0,0,0,0
2022/5/26,500,500,500,1,1,1,0,0,0
2022/5/27,,,,0,0,0,0,0,0
2022/5/28,,,,0,0,0,0,0,0
2022/5/29,500,26037.33958,4182.614327,1,1,1,0,1,1
2022/5/30,,,,0,0,0,0,0,0
2022/5/31,5010.122602,7160.519831,500,1,1,1,1,1,0
2022/6/1,,,,0,0,0,0,0,0
2022/6/2,5667.79661,4693.333333,7586.666667,1,1,1,1,1,1
2022/6/3,,,,0,0,0,0,0,0
2022/6/4,,,,0,0,0,0,0,0
2022/6/5,25148.38037,500,6476.864928,1,1,1,1,0,1
2022/6/6,,,,0,0,0,0,0,0
2022/6/7,10108.92656,13210.57681,107545.993,1,1,1,1,1,1
2022/6/8,,,,0,0,0,0,0,0
2022/6/9,5453.724495,500,3090.75112,1,1,1,1,0,1
2022/6/10,,,,0,0,0,0,0,0
2022/6/11,,,,0,0,0,0,0,0
2022/6/12,112437.1585,9866.666667,18057.74278,1,1,1,1,1,1
2022/6/13,,,,0,0,0,0,0,0
2022/6/14,500,500,500,1,1,1,0,0,0
2022/6/15,,,,0,0,0,0,0,0
2022/6/16,500,500,500,1,1,1,0,0,0
2022/6/17,,,,0,0,0,0,0,0
2022/6/18,,,,0,0,0,0,0,0
2022/6/19,500,500,500,1,1,1,0,0,0
2022/6/20,,,,0,0,0,0,0,0
2022/6/21,5254.144226,500,500,1,1,1,1,0,0
2022/6/22,,,,0,0,0,0,0,0
2022/6/23,2903.890158,500,500,1,1,1,1,0,0
2022/6/24,,,,0,0,0,0,0,0
2022/6/25,,,,0,0,0,0,0,0
2022/6/26,500,500,500,1,1,1,0,0,0
2022/6/27,,,,0,0,0,0,0,0
2022/6/28,9870.842482,500,500,1,1,1,1,0,0
2022/6/29,,,,0,0,0,0,0,0
2022/6/30,500,500,500,1,1,1,0,0,0
2022/7/1,,,,0,0,0,0,0,0
2022/7/2,,,,0,0,0,0,0,0
2022/7/3,500,500,500,1,1,1,0,0,0
2022/7/4,,,,0,0,0,0,0,0
2022/7/5,500,500,15662.96902,1,1,1,0,0,1
2022/7/6,,,,0,0,0,0,0,0
2022/7/7,12739.16339,500,500,1,1,1,1,0,0
2022/7/8,,,,0,0,0,0,0,0
2022/7/9,,,,0,0,0,0,0,0
2022/7/10,5647.320458,500,3298.23781,1,1,1,1,0,1
2022/7/11,,,,0,0,0,0,0,0
2022/7/12,16164.47519,27265.58495,26284.81309,1,1,1,1,1,1
2022/7/13,,,,0,0,0,0,0,0
2022/7/14,9415.283657,500,6769.529844,1,1,1,1,0,1
2022/7/15,,,,0,0,0,0,0,0
2022/7/16,,,,0,0,0,0,0,0
2022/7/17,6680.425777,9141.345267,6191.686887,1,1,1,1,1,1
2022/7/18,,,,0,0,0,0,0,0
2022/7/19,4510.744234,4514.226727,8939.939271,1,1,1,1,1,1
2022/7/20,,,,0,0,0,0,0,0
2022/7/21,500,4878.918331,5874.103821,1,1,1,0,1,1
2022/7/22,,,,0,0,0,0,0,0
2022/7/23,,,,0,0,0,0,0,0
2022/7/24,500,500,18130.57908,1,1,1,0,0,1
2022/7/25,,,,0,0,0,0,0,0
2022/7/26,5899.938218,500,3249.813571,1,1,1,1,0,1
2022/7/27,,,,0,0,0,0,0,0
2022/7/28,6765.366116,5263.015872,7330.527192,1,1,1,1,1,1
2022/7/29,,,,0,0,0,0,0,0
2022/7/30,,,,0,0,0,0,0,0
2022/7/31,15253.45665,11246.03759,7832.676172,1,1,1,1,1,1
2022/8/1,,,,0,0,0,0,0,0
2022/8/2,8411.784967,500,500,1,1,1,1,0,0
2022/8/3,,,,0,0,0,0,0,0
2022/8/4,6538.624564,500,500,1,1,1,1,0,0
2022/8/5,,,,0,0,0,0,0,0
2022/8/6,,,,0,0,0,0,0,0
2022/8/7,500,500,500,1,1,1,0,0,0
2022/8/8,,,,0,0,0,0,0,0
2022/8/9,18725.01653,500,500,1,1,1,1,0,0
2022/8/10,,,,0,0,0,0,0,0
2022/8/11,9219.05129,4841.700615,500,1,1,1,1,1,0
2022/8/12,,,,0,0,0,0,0,0
2022/8/13,,,,0,0,0,0,0,0
2022/8/14,6928.585014,9043.263064,4728.544111,1,1,1,1,1,1
2022/8/15,,,,0,0,0,0,0,0
2022/8/16,500,13483.47346,500,1,1,1,0,1,0
2022/8/17,,,,0,0,0,0,0,0
2022/8/18,4656.522112,6804.927299,4655.43844,1,1,1,1,1,1
2022/8/19,,,,0,0,0,0,0,0
2022/8/20,,,,0,0,0,0,0,0
2022/8/21,5222.988506,6186.666667,500,1,1,1,1,1,0
2022/8/22,,,,0,0,0,0,0,0
2022/8/23,500,11971.82337,3418.753996,1,1,1,0,1,1
2022/8/24,,,,0,0,0,0,0,0
2022/8/25,4497.327407,500,500,1,1,1,1,0,0
2022/8/26,,,,0,0,0,0,0,0
2022/8/27,,,,0,0,0,0,0,0
2022/8/28,500,500,500,1,1,1,0,0,0
2022/8/29,,,,0,0,0,0,0,0
2022/8/30,3558.312955,6544.258051,7121.23532,1,1,1,1,1,1
2022/8/31,,,,0,0,0,0,0,0
2022/9/1,7574.766974,5342.742544,3612.076013,1,1,1,1,1,1
2022/9/2,,,,0,0,0,0,0,0
2022/9/3,,,,0,0,0,0,0,0
2022/9/4,9599.165958,6039.378819,5960.430812,1,1,1,1,1,1
2022/9/5,,,,0,0,0,0,0,0
2022/9/6,10347.15031,6468.745306,11620.08617,1,1,1,1,1,1
2022/9/7,,,,0,0,0,0,0,0
2022/9/8,6175.994873,8436.906593,3945.188154,1,1,1,1,1,1
2022/9/9,,,,0,0,0,0,0,0
2022/9/10,,,,0,0,0,0,0,0
2022/9/11,4372.693874,4368.003727,35111.46495,1,1,1,1,1,1
2022/9/12,,,,0,0,0,0,0,0
2022/9/13,7121.078079,7697.437242,8228.174545,1,1,1,1,1,1
2022/9/14,,,,0,0,0,0,0,0
2022/9/15,5970.61456,500,500,1,1,1,1,0,0
2022/9/16,,,,0,0,0,0,0,0
2022/9/17,,,,0,0,0,0,0,0
2022/9/18,500,500,8363.932582,1,1,1,0,0,1
2022/9/19,,,,0,0,0,0,0,0
2022/9/20,25189.90695,15562.67043,500,1,1,1,1,1,0
2022/9/21,,,,0,0,0,0,0,0
2022/9/22,6433.510661,500,5413.668771,1,1,1,1,0,1
2022/9/23,,,,0,0,0,0,0,0
2022/9/24,,,,0,0,0,0,0,0
2022/9/25,20309.66908,6565.415732,500,1,1,1,1,1,0
2022/9/26,,,,0,0,0,0,0,0
2022/9/27,,,,0,0,0,0,0,0
2022/9/28,,,,0,0,0,0,0,0
2022/9/29,,,,0,0,0,0,0,0
2022/9/30,,,,0,0,0,0,0,0
2022/10/1,,,,0,0,0,0,0,0
2022/10/2,11553.72968,8156.550866,16420.11587,1,1,1,1,1,1
2022/10/3,,,,0,0,0,0,0,0
2022/10/4,14473.27787,8112.319311,41087.68638,1,1,1,1,1,1
2022/10/5,,,,0,0,0,0,0,0
2022/10/6,,,,0,0,0,0,0,0
2022/10/7,4393.81202,26412.59962,7258.08101,1,1,1,1,1,1
2022/10/8,,,,0,0,0,0,0,0
2022/10/9,500,12430.3718,35791.37471,1,1,1,0,1,1
2022/10/10,,,,0,0,0,0,0,0
2022/10/11,500,500,8193.306584,1,1,1,0,0,1
2022/10/12,,,,0,0,0,0,0,0
2022/10/13,6907.146772,10383.93956,8283.386208,1,1,1,1,1,1
2022/10/14,,,,0,0,0,0,0,0
2022/10/15,,,,0,0,0,0,0,0
2022/10/16,6525.450606,8189.249987,17883.72635,1,1,1,1,1,1
2022/10/17,,,,0,0,0,0,0,0
2022/10/18,12936.65089,13100.65085,10328.20758,1,1,1,1,1,1
2022/10/19,,,,0,0,0,0,0,0
2022/10/20,14811.2532,500,27055.9384,1,1,1,1,0,1
2022/10/21,,,,0,0,0,0,0,0
2022/10/22,,,,0,0,0,0,0,0
2022/10/23,500,5443.001197,12076.25796,1,1,1,0,1,1
2022/10/24,,,,0,0,0,0,0,0
2022/10/25,7450.66219,14455.95315,10298.25546,1,1,1,1,1,1
2022/10/26,,,,0,0,0,0,0,0
2022/10/27,12082.39694,8469.628749,22697.90286,1,1,1,1,1,1
2022/10/28,,,,0,0,0,0,0,0
2022/10/29,,,,0,0,0,0,0,0
2022/10/30,3360.425279,9662.1116,18410.51272,1,1,1,1,1,1
2022/10/31,,,,0,0,0,0,0,0
2022/11/1,8677.482605,43657.49625,10170.13454,1,1,1,1,1,1
2022/11/2,,,,0,0,0,0,0,0
2022/11/3,5060.784852,5683.150642,8552.27456,1,1,1,1,1,1
2022/11/4,,,,0,0,0,0,0,0
2022/11/5,,,,0,0,0,0,0,0
2022/11/6,9993.766483,5041.854198,18812.1759,1,1,1,1,1,1
2022/11/7,,,,0,0,0,0,0,0
2022/11/8,,,,0,0,0,0,0,0
2022/11/9,,,,0,0,0,0,0,0
2022/11/10,8185.70902,15129.84435,11080.11762,1,1,1,1,1,1
2022/11/11,,,,0,0,0,0,0,0
2022/11/12,,,,0,0,0,0,0,0
2022/11/13,19441.94937,500,17008.2298,1,1,1,1,0,1
2022/11/14,,,,0,0,0,0,0,0
2022/11/15,14608.96685,17317.53025,13393.13518,1,1,1,1,1,1
2022/11/16,,,,0,0,0,0,0,0
2022/11/17,9274.54763,500,13596.64926,1,1,1,1,0,1
2022/11/18,,,,0,0,0,0,0,0
2022/11/19,,,,0,0,0,0,0,0
2022/11/20,4990.559532,34191.65258,31255.53492,1,1,1,1,1,1
2022/11/21,,,,0,0,0,0,0,0
2022/11/22,,,,0,0,0,0,0,0
2022/11/23,,,,0,0,0,0,0,0
2022/11/24,,,,0,0,0,0,0,0
2022/11/25,,,,0,0,0,0,0,0
2022/11/26,,,,0,0,0,0,0,0
2022/11/27,5331.488499,8345.696865,21919.26982,1,1,1,1,1,1
2022/11/28,,,,0,0,0,0,0,0
2022/11/29,34229.39393,11369.70283,33469.77234,1,1,1,1,1,1
2022/11/30,,,,0,0,0,0,0,0
2022/12/1,22347.35405,500,20560.56923,1,1,1,1,0,1
2022/12/2,,,,0,0,0,0,0,0
2022/12/3,,,,0,0,0,0,0,0
2022/12/4,35435.37607,18320.46483,5603.564041,1,1,1,1,1,1
2022/12/5,,,,0,0,0,0,0,0
2022/12/6,25986.27758,4072.357019,6081.918097,1,1,1,1,1,1
2022/12/7,,,,0,0,0,0,0,0
2022/12/8,500,18419.11474,14282.8418,1,1,1,0,1,1
2022/12/9,,,,0,0,0,0,0,0
2022/12/10,,,,0,0,0,0,0,0
2022/12/11,34984.4915,22110.38883,25702.95517,1,1,1,1,1,1
2022/12/12,,,,0,0,0,0,0,0
2022/12/13,10021.50308,36845.24935,5727.116363,1,1,1,1,1,1
2022/12/14,,,,0,0,0,0,0,0
2022/12/15,3446.117315,500,13222.32425,1,1,1,1,0,1
2022/12/16,,,,0,0,0,0,0,0
2022/12/17,,,,0,0,0,0,0,0
2022/12/18,33290.2962,8419.821031,7007.201512,1,1,1,1,1,1
2022/12/19,,,,0,0,0,0,0,0
2022/12/20,,,,0,0,0,0,0,0
2022/12/21,,,,0,0,0,0,0,0
2022/12/22,,,,0,0,0,0,0,0
2022/12/23,,,,0,0,0,0,0,0
2022/12/24,,,,0,0,0,0,0,0
2022/12/25,,,,0,0,0,0,0,0
2022/12/26,19189.8251,500,6440.378617,1,1,1,1,0,1
2022/12/27,,,,0,0,0,0,0,0
2022/12/28,,,,0,0,0,0,0,0
2022/12/29,,,,0,0,0,0,0,0
2022/12/30,,,,0,0,0,0,0,0
2022/12/31,,,,0,0,0,0,0,0
2023/1/1,,,,0,0,0,0,0,0
2023/1/2,21215.2817,21254.197,40828.08957,1,1,1,1,1,1
2023/1/3,15971.14474,500,500,1,1,1,1,0,0
2023/1/4,,119607.9612,,0,1,0,0,1,0
2023/1/5,5470.251178,5725.085594,4916.276848,1,1,1,1,1,1
2023/1/6,,,,0,0,0,0,0,0
2023/1/7,,,,0,0,0,0,0,0
2023/1/8,14026.00317,9264.667143,16700.82978,1,1,1,1,1,1
2023/1/9,,61993.95766,,0,1,0,0,1,0
2023/1/10,4879.130672,500,9019.385169,1,1,1,1,0,1
2023/1/11,,,,0,0,0,0,0,0
2023/1/12,500,5618.521487,20484.49067,1,1,1,0,1,1
2023/1/13,,,,0,0,0,0,0,0
2023/1/14,,,,0,0,0,0,0,0
2023/1/15,15061.00729,29733.24603,500,1,1,1,1,1,0
2023/1/16,,,,0,0,0,0,0,0
2023/1/17,36142.27659,4522.55587,500,1,1,1,1,1,0
2023/1/18,,,,0,0,0,0,0,0
2023/1/19,7092.056754,500,500,1,1,1,1,0,0
2023/1/20,,,,0,0,0,0,0,0
2023/1/21,,,,0,0,0,0,0,0
2023/1/22,500,500,4072.100061,1,1,1,0,0,1
2023/1/23,,,,0,0,0,0,0,0
2023/1/24,500,6035.680158,500,1,1,1,0,1,0
2023/1/25,,,,0,0,0,0,0,0
2023/1/26,,,,0,0,0,0,0,0
2023/1/27,500,500,8055.482919,1,1,1,0,0,1
2023/1/28,,,,0,0,0,0,0,0
2023/1/29,500,500,4652.731661,1,1,1,0,0,1
2023/1/30,,,,0,0,0,0,0,0
2023/1/31,500,500,500,1,1,1,0,0,0
2023/2/1,,,,0,0,0,0,0,0
2023/2/2,500,500,500,1,1,1,0,0,0
2023/2/3,,,,0,0,0,0,0,0
2023/2/4,,,,0,0,0,0,0,0
2023/2/5,500,37228.43785,9882.717615,1,1,1,0,1,1
2023/2/6,,,,0,0,0,0,0,0
2023/2/7,500,500,500,1,1,1,0,0,0
2023/2/8,,,,0,0,0,0,0,0
2023/2/9,4509.387724,500,7060.498551,1,1,1,1,0,1
2023/2/10,,,,0,0,0,0,0,0
2023/2/11,500,9871.650201,9085.655212,1,1,1,0,1,1
2023/2/12,,,,0,0,0,0,0,0
2023/2/13,,,,0,0,0,0,0,0
2023/2/14,500,500,500,1,1,1,0,0,0
2023/2/15,,,,0,0,0,0,0,0
2023/2/16,4582.618223,500,500,1,1,1,1,0,0
2023/2/17,,,,0,0,0,0,0,0
2023/2/18,,,,0,0,0,0,0,0
2023/2/19,500,500,500,1,1,1,0,0,0
2023/2/20,,,,0,0,0,0,0,0
2023/2/21,500,500,5578.032103,1,1,1,0,0,1
2023/2/22,,,,0,0,0,0,0,0
2023/2/23,500,500,500,1,1,1,0,0,0
2023/2/24,,,,0,0,0,0,0,0
2023/2/25,,,,0,0,0,0,0,0
2023/2/26,500,500,10600.96837,1,1,1,0,0,1
2023/2/27,,,,0,0,0,0,0,0
2023/2/28,,,,0,0,0,0,0,0
2023/3/1,,,,0,0,0,0,0,0
2023/3/2,5854.700835,500,500,1,1,1,1,0,0
2023/3/3,,,,0,0,0,0,0,0
2023/3/4,,,,0,0,0,0,0,0
2023/3/5,500,500,500,1,1,1,0,0,0
2023/3/6,,,,0,0,0,0,0,0
2023/3/7,15916.01239,5477.055961,500,1,1,1,1,1,0
2023/3/8,,,,0,0,0,0,0,0
2023/3/9,500,500,4632.3366,1,1,1,0,0,1
2023/3/10,,,,0,0,0,0,0,0
2023/3/11,,,,0,0,0,0,0,0
2023/3/12,500,500,500,1,1,1,0,0,0
2023/3/13,,,,0,0,0,0,0,0
2023/3/14,500,4778.237825,7355.350918,1,1,1,0,1,1
2023/3/15,,,,0,0,0,0,0,0
2023/3/16,3022.775436,500,500,1,1,1,1,0,0
2023/3/17,,,,0,0,0,0,0,0
2023/3/18,,,,0,0,0,0,0,0
2023/3/19,500,500,54097.40448,1,1,1,0,0,1
2023/3/20,,,,0,0,0,0,0,0
2023/3/21,,,,0,0,0,0,0,0
2023/3/22,,,,0,0,0,0,0,0
2023/3/23,500,500,500,1,1,1,0,0,0
2023/3/24,,,,0,0,0,0,0,0
2023/3/25,,,,0,0,0,0,0,0
2023/3/26,28743.46109,500,500,1,1,1,1,0,0
2023/3/27,,,,0,0,0,0,0,0
2023/3/28,500,500,500,1,1,1,0,0,0
2023/3/29,,,,0,0,0,0,0,0
2023/3/30,500,500,5684.852445,1,1,1,0,0,1
2023/3/31,,,,0,0,0,0,0,0
2023/4/1,,,,0,0,0,0,0,0
2023/4/2,500,500,500,1,1,1,0,0,0
2023/4/3,,,,0,0,0,0,0,0
2023/4/4,500,7784.995564,500,1,1,1,0,1,0
2023/4/5,,,,0,0,0,0,0,0
2023/4/6,500,500,500,1,1,1,0,0,0
2023/4/7,,,,0,0,0,0,0,0
2023/4/8,,,,0,0,0,0,0,0
2023/4/9,500,500,4364.90513,1,1,1,0,0,1
2023/4/10,,,,0,0,0,0,0,0
2023/4/11,500,500,500,1,1,1,0,0,0
2023/4/12,,,,0,0,0,0,0,0
2023/4/13,500,500,500,1,1,1,0,0,0
2023/4/14,,,,0,0,0,0,0,0
2023/4/15,,,,0,0,0,0,0,0
2023/4/16,500,500,500,1,1,1,0,0,0
2023/4/17,,,,0,0,0,0,0,0
2023/4/18,,500,500,0,1,1,0,0,0
2023/4/19,500,,,1,0,0,0,0,0
2023/4/20,,,,0,0,0,0,0,0
2023/4/21,,,,0,0,0,0,0,0
2023/4/22,,,,0,0,0,0,0,0
2023/4/23,,,,0,0,0,0,0,0
2023/4/24,,,,0,0,0,0,0,0
2023/4/25,500,500,500,1,1,1,0,0,0
2023/4/26,,,,0,0,0,0,0,0
2023/4/27,500,500,500,1,1,1,0,0,0
2023/4/28,,,,0,0,0,0,0,0
2023/4/29,,,,0,0,0,0,0,0
2023/4/30,500,500,500,1,1,1,0,0,0
2023/5/1,,,,0,0,0,0,0,0
2023/5/2,500,500,500,1,1,1,0,0,0
2023/5/3,,,,0,0,0,0,0,0
2023/5/4,500,500,500,1,1,1,0,0,0
2023/5/5,,,,0,0,0,0,0,0
2023/5/6,,,,0,0,0,0,0,0
2023/5/7,500,500,500,1,1,1,0,0,0
2023/5/8,,,,0,0,0,0,0,0
2023/5/9,500,500,500,1,1,1,0,0,0
2023/5/10,,,,0,0,0,0,0,0
2023/5/11,500,500,500,1,1,1,0,0,0
2023/5/12,,,,0,0,0,0,0,0
2023/5/13,,,,0,0,0,0,0,0
2023/5/14,,,,0,0,0,0,0,0
2023/5/15,,,,0,0,0,0,0,0
2023/5/16,500,500,500,1,1,1,0,0,0
2023/5/17,,,,0,0,0,0,0,0
2023/5/18,500,,500,1,0,1,0,0,0
2023/5/19,,,,0,0,0,0,0,0
2023/5/20,,,,0,0,0,0,0,0
2023/5/21,500,500,500,1,1,1,0,0,0
2023/5/22,,,,0,0,0,0,0,0
2023/5/23,4056.830918,500,500,1,1,1,1,0,0
2023/5/24,,,,0,0,0,0,0,0
2023/5/25,500,500,500,1,1,1,0,0,0
2023/5/26,,,,0,0,0,0,0,0
2023/5/27,,,,0,0,0,0,0,0
2023/5/28,,500,500,0,1,1,0,0,0
2023/5/29,500,,,1,0,0,0,0,0
2023/5/30,,500,500,0,1,1,0,0,0
2023/5/31,500,,,1,0,0,0,0,0
,500,500,500,,,,,,
,,,,,,,,,
,,,,,,,,,
,500,500,7941.317712,,,,,,
,,,,,,,,,
,500,500,2569.295715,,,,,,
,,,,,,,,,
,,,,,,,,,
,500,500,500,,,,,,
,,,,,,,,,
,,500,500,,,,,,
,500,,,,,,,,
,500,500,500,,,,,,
,,,,,,,,,
,500,500,500,,,,,,
,,,,,,,,,
,,,,,,,,,
,,500,500,,,,,,
,500,,,,,,,,
,500,500,2745.547256,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,500,500,500,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,500,500,4975.827285,,,,,,
,,,,,,,,,
,500,500,500,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,5173.199955,500,4179.9072,,,,,,
,,,,,,,,,
,,,,,,,,,
,,500,500,,,,,,
,500,,,,,,,,
,,500,500,,,,,,
,500,,,,,,,,
,,,,,,,,,
,500,5803.677899,500,,,,,,
,,,,,,,,,
,21110.43725,500,500,,,,,,
,,,,,,,,,
,500,500,500,,,,,,
,,,,,,,,,
,500,500,500,,,,,,
,,,,,,,,,
,,,,,,,,,
,,500,500,,,,,,
,,,,,,,,,
,,,,,,,,,
