time,S,I,R,incidence,incidence_2,Time_2
26,0.986825024,0.006548665,0.00662631,0.002871585,287.1585414,51
27,0.983174374,0.008346166,0.00847946,0.00365065,365.0650077,52
28,0.978546251,0.010615063,0.010838687,0.004628123,462.812338,53
29,0.97269907,0.013465586,0.013835344,0.005847181,584.7180921,54
30,0.965343927,0.01702555,0.017630523,0.007355142,735.5142375,55
31,0.956142795,0.021438067,0.022419138,0.009201132,920.1132145,56
32,0.94471098,0.026855729,0.028433291,0.011431815,1143.181549,57
33,0.930627513,0.033429185,0.035943301,0.014083467,1408.346659,58
34,0.913456446,0.041288511,0.045255043,0.017171067,1717.106732,59
35,0.892782117,0.050516259,0.056701623,0.020674329,2067.432859,60
36,0.868259911,0.061112782,0.070627307,0.024522206,2452.220607,61
37,0.839680206,0.072957632,0.087362161,0.028579705,2857.97048,62
38,0.807037518,0.08577512,0.107187362,0.032642688,3264.268846,63
39,0.770590275,0.099116101,0.130293624,0.036447243,3644.724307,64
40,0.730892306,0.112369205,0.156738489,0.039697969,3969.796863,65
41,0.68877879,0.124810138,0.186411072,0.042113516,4211.351642,66
42,0.645299436,0.135686763,0.2190138,0.043479353,4347.93534,67
43,0.601607919,0.144323729,0.254068352,0.043691517,4369.151746,68
44,0.558832018,0.150220409,0.290947572,0.042775901,4277.590084,69
45,0.517955538,0.153116169,0.328928293,0.040876481,4087.648051,70
46,0.479737237,0.153008106,0.367254657,0.0382183,3821.830025,71
47,0.444677557,0.150122588,0.405199855,0.03505968,3505.968007,72
48,0.413028666,0.144855016,0.442116318,0.031648891,3164.889088,73
49,0.384833825,0.137697284,0.477468891,0.028194841,2819.484131,74
50,0.359979935,0.129169874,0.510850191,0.02485389,2485.389025,75
51,0.338250324,0.119768912,0.541980764,0.021729611,2172.961095,76
52,0.31936997,0.109931706,0.570698324,0.018880354,1888.035419,77
53,0.303040045,0.100019373,0.596940582,0.016329925,1632.992475,78
54,0.288961845,0.090312687,0.620725468,0.0140782,1407.820045,79
55,0.276851777,0.08101673,0.642131493,0.012110067,1211.00674,80
56,0.266449613,0.072270434,0.661279952,0.010402164,1040.216379,81
57,0.257522055,0.064158136,0.67831981,0.008927558,892.7558449,82
58,0.249863297,0.056721191,0.693415511,0.007658758,765.8757701,83
59,0.243293815,0.049968591,0.706737594,0.006569483,656.9482669,84
60,0.23765821,0.04388603,0.71845576,0.005635604,563.5604332,85
61,0.232822674,0.038443315,0.728734011,0.004835536,483.5535805,86
62,0.228672379,0.033600185,0.737727436,0.004150296,415.0295728,87
63,0.225108992,0.029310733,0.745580275,0.003563387,356.3386785,88
64,0.22204841,0.025526656,0.752424934,0.003060582,306.0581733,89
65,0.219418737,0.022199571,0.758381692,0.002629673,262.9673419,90
66,0.217158515,0.019282591,0.763558893,0.002260221,226.0221487,91
67,0.215215202,0.01673134,0.768053459,0.001943313,194.3313344,92
68,0.213543854,0.014504553,0.771951593,0.001671348,167.1347668,93
69,0.212106011,0.01256438,0.775329609,0.001437843,143.7843277,94
70,0.210868738,0.010876469,0.778254793,0.001237273,123.7273129,95
71,0.209803816,0.009409907,0.780786277,0.001064922,106.4921697,96
72,0.208887053,0.008137068,0.782975879,0.000916763,91.67632494,97
73,0.208097694,0.007033407,0.784868899,0.000789358,78.93584057,98
74,0.207417928,0.006077211,0.786504861,0.000679766,67.97664427,99
75,0.206832457,0.005249353,0.78791819,0.000585471,58.54710257,100
76,0.20632814,0.004533036,0.789138824,0.000504317,50.43173248,101
77,0.205893681,0.003913549,0.79019277,0.000434459,43.44587507,102
78,0.205519369,0.00337804,0.791102591,0.000374312,37.43118009,103
79,0.205196851,0.0029153,0.791887848,0.000322518,32.25177412,104
80,0.204918941,0.002515572,0.792565487,0.00027791,27.79100495,105
81,0.204679455,0.002170372,0.793150174,0.000239487,23.94867206,106
82,0.204473068,0.001872333,0.793654599,0.000206387,20.63866768,107
83,0.204295198,0.001615067,0.794089735,0.00017787,17.78696503,108
84,0.204141899,0.001393035,0.794465065,0.000153299,15.32990086,109
85,0.204009772,0.001201442,0.794788786,0.000132127,13.21270748,110
86,0.20389589,0.001036136,0.795067975,0.000113883,11.38825684,111
87,0.20379773,0.000893527,0.795308743,9.82E-05,9.815985171,112
88,0.20371312,0.000770511,0.795516369,8.46E-05,8.460971285,113
89,0.203640189,0.000664405,0.795695406,7.29E-05,7.293146189,114
90,0.203577322,0.000572891,0.795849786,6.29E-05,6.286614748,115
91,0.203523132,0.000493968,0.795982901,5.42E-05,5.419086361,116
92,0.203476418,0.000425906,0.796097676,4.67E-05,4.671370456,117
93,0.20343615,0.000367214,0.796196636,4.03E-05,4.026814201,118
94,0.203401438,0.000316604,0.796281959,3.47E-05,3.471223662,119
95,0.203371514,0.000272965,0.796355521,2.99E-05,2.992316455,120
96,0.203345719,0.000235337,0.796418943,2.58E-05,2.579498667,121
97,0.203323483,0.000202894,0.796473623,2.22E-05,2.223646234,122
98,0.203304314,0.000174922,0.796520764,1.92E-05,1.916894978,123
99,0.203287789,0.000150805,0.796561406,1.65E-05,1.652467229,124
100,0.203401438,0.000316604,0.796281959,3.47E-05,1.652467229,125
101,0.203401438,0.000316604,0.796281959,3.47E-05,1.652467229,126
102,0.203401438,0.000316604,0.796281959,3.47E-05,1.652467229,127
103,0.203401438,0.000316604,0.796281959,3.47E-05,1.652467229,128
104,0.203401438,0.000316604,0.796281959,3.47E-05,1.652467229,129
105,0.203401438,0.000316604,0.796281959,3.47E-05,1.652467229,130
106,0.203401438,0.000316604,0.796281959,3.47E-05,1.652467229,131
107,0.203401438,0.000316604,0.796281959,3.47E-05,1.652467229,132
108,0.203401438,0.000316604,0.796281959,3.47E-05,1.652467229,133
109,0.203401438,0.000316604,0.796281959,3.47E-05,1.652467229,134
110,0.203401438,0.000316604,0.796281959,3.47E-05,1.652467229,135
111,0.203401438,0.000316604,0.796281959,3.47E-05,1.652467229,136
112,0.203401438,0.000316604,0.796281959,3.47E-05,1.652467229,137
113,0.20325068,0.000316604,0.796281959,3.47E-05,1.652467229,138
114,0.203099922,0.000316604,0.796281959,3.47E-05,1.652467229,139
115,0.202949164,0.000316604,0.796281959,3.47E-05,1.652467229,140
116,0.202798406,0.000316604,0.796281959,3.47E-05,1.652467229,141
