"","low_7","med_7","upr_7"
"44",4.47086602209256,4.53347553929184,4.59619962147445
"45",4.40295303816899,4.4658371467116,4.52851180629652
"46",4.33391830326432,4.39689569573269,4.45990076682822
"47",4.26205815262569,4.32615227998994,4.38924316731472
"48",4.19068152749642,4.25420527403003,4.31749929362626
"49",4.1194493949732,4.18135900121598,4.24348078965853
"50",4.04419782940502,4.10828688249551,4.17037892006931
"51",3.97137048272892,4.03593739180118,4.09873070034544
"52",3.90216361835821,3.96662585793078,4.02965419340047
"53",3.83998583676177,3.9035437881174,3.96514727065955
"54",3.78011375906841,3.84251498340677,3.90436680772958
"55",3.71851891876315,3.78217300949755,3.84443041302567
"56",3.65794350501086,3.72068208163221,3.78262806889346
"57",3.59448779612296,3.65761806720517,3.72057246007621
"58",3.53049312141767,3.59186430017718,3.65511828906789
"59",3.46122916616106,3.52450510529358,3.58769258960053
"60",3.39401555709778,3.4563203569642,3.51960243630322
"61",3.32642054347753,3.3884893813795,3.45189346159015
"62",3.26102062915806,3.32370563537447,3.38597733262522
"63",3.19716501280606,3.26237740905161,3.32451892381835
"64",3.13911879399595,3.20444884886757,3.26724957282828
"65",3.08889602972084,3.15338055216024,3.21647045736549
"66",3.04519314630045,3.10972708233207,3.1722674567763
"67",3.00957476995332,3.07351899105249,3.13523165903639
"68",2.98116245413919,3.04465377331738,3.10675284934155
"69",2.95997462882461,3.02355195674985,3.08538019270119
"70",2.94586836922985,3.00944146158181,3.07073040845206
"71",2.9385305856415,3.00205093166544,3.06305016982667
"72",2.93689638318732,2.99828307931861,3.05931283663352
"73",2.93524814412117,2.99601669934522,3.05734802484409
"74",2.93346281785352,2.99464170004306,3.05670432253307
"75",2.93282852258826,2.99460070985895,3.05648137660474
"76",2.93263243587472,2.99411243563546,3.05535781885757
"77",2.93403285851459,2.99550302372025,3.05516730768472
"78",2.93897356254167,3.00046553324373,3.06109578775368
"79",2.94724850319669,3.00876318896731,3.0694152978864
"80",2.95962545660183,3.02154014968048,3.08220343587712
"81",2.97390794492353,3.03513074274848,3.09745814800065
"82",2.98630291835868,3.04820414654578,3.10979702129008
"83",2.99723132947347,3.05940160358213,3.12049184801962
"84",3.00601651594586,3.06841221381358,3.12889665235156
"85",3.01174816931679,3.07488190980773,3.13637644474489
"86",3.01594216681986,3.07938256880407,3.14068316881992
"87",3.01969367655354,3.08224034119163,3.14315272600844
"88",3.02059580708757,3.08328775748862,3.14454403140322
"89",3.02107696061478,3.08262618402869,3.14549491260085
"90",3.01977505085408,3.08119437613676,3.14457241389486
"91",3.0164788321142,3.07820452090717,3.141526438448
"92",3.01114024706585,3.07374370154772,3.137727633428
"93",3.00558461598666,3.06792443356725,3.13109999677568
"94",2.99812947423648,3.06008760454901,3.12351438151971
"95",2.98895362243651,3.05180581812944,3.11472089400789
"96",2.97931372543706,3.04285556135464,3.1051310742968
"97",2.97106603248992,3.03451858954631,3.09596812697707
"98",2.96594173527114,3.02917902472718,3.09086438948515
"99",2.96712427882489,3.03047948378788,3.09191984493595
"100",2.97068592434329,3.03356618278773,3.09567478188096
"101",2.97398237581059,3.03596888685842,3.09839155194347
"102",2.97450492334672,3.03556604345702,3.09942301952576
"103",2.97043989623291,3.03057238926776,3.09498382179072
"104",2.96041726145631,3.02184026317792,3.08440561903859
"105",2.9489922871825,3.00931376732008,3.07058326295158
"106",2.93463998400127,2.99585740340282,3.05751647244928
"107",2.92239489033756,2.9845433075906,3.04629432815753
"108",2.91786550885876,2.98184448061669,3.04308027985132
"109",2.92222654827336,2.98553115056972,3.04717782385872
"110",2.93460523561287,2.99757959966282,3.05809194520897
"111",2.94936029248147,3.01206813906812,3.07344104426903
"112",2.96332511818957,3.02546825642065,3.08731023788422
"113",2.97250528253686,3.03515097562015,3.09815887525646
"114",2.9789582296856,3.04173228080864,3.10425506427107
"115",2.983847394421,3.04520728149135,3.10662935337457
"116",2.98563454779992,3.04620915468684,3.1072833760582
"117",2.98624933713107,3.04705911923123,3.10776285380635
"118",2.98918055882607,3.04961074486031,3.11129012509297
"119",2.99222890806679,3.05311119682403,3.11400004301419
"120",2.99378883840536,3.05505218455003,3.11621636988216
"121",2.99456883956443,3.05560724756391,3.11665046131884
"122",2.99254265432495,3.05427015896282,3.11685071333068
"123",2.98902978214814,3.0522502017368,3.11483519444696
"124",2.98645712886229,3.049550563577,3.11164701646153
"125",2.98498544617372,3.04774044939482,3.11130466900578
"126",2.98441189500459,3.04763442255183,3.11108615383764
"127",2.98598245151553,3.04925033926069,3.11393350162444
"128",2.9885198709966,3.05460044469253,3.11987472209374
"129",2.98953750668463,3.06189830218664,3.13154618680231
"130",2.98451503650439,3.06943658245342,3.1521098634209
"131",2.96924346452053,3.07798630022867,3.18570908000216
