"","date","count","positive","concentration","substitution","low_7_a","med_7_a","upr_7_a"
"79","2022/8/2",2,0,NA,2.698970004,3.23226239499851,3.48119503238652,3.67920825732491
"80","2022/8/3",1,0,NA,2.698970004,3.23829742023125,3.4847141875419,3.6804281992449
"81","2022/8/4",0,0,NA,NA,3.24278698374854,3.48803818481695,3.68228603500803
"82","2022/8/5",0,0,NA,NA,3.2511292516688,3.49155039344748,3.68611482710104
"83","2022/8/6",0,0,NA,NA,3.25870126941455,3.49579936542968,3.69220110781025
"84","2022/8/7",0,0,NA,NA,3.26545706588514,3.50023462246152,3.69689887572537
"85","2022/8/8",2,0,NA,2.698970004,3.27514737446914,3.5064854192321,3.69924233417679
"86","2022/8/9",2,0,NA,2.698970004,3.28436134540833,3.51370848425137,3.70522684841054
"87","2022/8/10",2,0,NA,2.698970004,3.29606065093379,3.52143640414984,3.71070633019262
"88","2022/8/11",0,0,NA,NA,3.30742872957691,3.53027974336541,3.71695453021611
"89","2022/8/12",0,0,NA,NA,3.32096381791315,3.53942730641487,3.72538459461731
"90","2022/8/13",0,0,NA,NA,3.33400963785761,3.54843492267166,3.73399374048688
"91","2022/8/14",0,0,NA,NA,3.34386687808034,3.55741857322705,3.74382175063164
"92","2022/8/15",2,0,NA,2.698970004,3.35836939285061,3.56637024565666,3.75110972836743
"93","2022/8/16",2,0,NA,2.698970004,3.36965666452235,3.57533623368101,3.7585754050479
"94","2022/8/17",2,1,3.445390515,3.07218026,3.38018349388458,3.58428618779513,3.76943836664373
"95","2022/8/18",0,0,NA,NA,3.39048647493406,3.59255911995402,3.77824590220106
"96","2022/8/19",0,0,NA,NA,3.40233194972204,3.60174705224988,3.78993485188094
"97","2022/8/20",0,0,NA,NA,3.41352469057492,3.60979563154808,3.79907536208697
"98","2022/8/21",0,0,NA,NA,3.42188767923896,3.6170843868298,3.80685794683765
"99","2022/8/22",2,1,4.826483649,3.762726827,3.42841386506773,3.62489039903659,3.81459167430174
"100","2022/8/23",2,0,NA,2.698970004,3.43290840301314,3.63081714313031,3.81917850835093
"101","2022/8/24",2,1,5.039507868,3.869238936,3.4385517817886,3.63575710463975,3.82079332419699
"102","2022/8/25",0,0,NA,NA,3.4420900762267,3.64059140317212,3.82536423513343
"103","2022/8/26",0,0,NA,NA,3.44701186780222,3.64360909321818,3.82702683109705
"104","2022/8/27",0,0,NA,NA,3.44870629265661,3.64502792082218,3.82685454210726
"105","2022/8/28",0,0,NA,NA,3.45352610024473,3.64717695855073,3.82649738787555
