"","date","count","positive","concentration","substitution","low_7_a","med_7_a","upr_7_a"
"72","2022/6/13",0,0,NA,NA,3.51697624718072,3.63011703180969,3.75624587599424
"73","2022/6/14",3,0,NA,2.698970004,3.50260377571749,3.61626630025678,3.74015869747005
"74","2022/6/15",0,0,NA,NA,3.48597726357091,3.60264384183994,3.7222866507922
"75","2022/6/16",3,0,NA,2.698970004,3.46843448372318,3.59005240564502,3.70700690336619
"76","2022/6/17",0,0,NA,NA,3.45246466212942,3.57787602703606,3.69372774786062
"77","2022/6/18",0,0,NA,NA,3.43569715973389,3.56621872336377,3.68366547049595
"78","2022/6/19",3,0,NA,2.698970004,3.42010171780834,3.55601470397736,3.67431304008945
"79","2022/6/20",0,0,NA,NA,3.40593667254223,3.5474573275427,3.66617146774382
"80","2022/6/21",3,1,3.72050199,3.039480666,3.39000377876508,3.53981425330774,3.6609981412355
"81","2022/6/22",0,0,NA,NA,3.37751290378254,3.53357978661081,3.65691420938951
"82","2022/6/23",3,1,3.462980185,2.953640064,3.36794582562975,3.52877749372659,3.65312194973231
"83","2022/6/24",0,0,NA,NA,3.35885618554366,3.52520716273138,3.65028843944199
"84","2022/6/25",0,0,NA,NA,3.35361906474831,3.52378579597202,3.64941388920621
"85","2022/6/26",3,0,NA,2.698970004,3.35606208204737,3.52306295695194,3.64869035080061
"86","2022/6/27",0,0,NA,NA,3.35539308495999,3.52447886457698,3.64967194530595
"87","2022/6/28",3,1,3.994354222,3.130764743,3.35990489641924,3.52831452035258,3.65296780223246
"88","2022/6/29",0,0,NA,NA,3.36785051734604,3.53401304834953,3.6569084857081
"89","2022/6/30",3,0,NA,2.698970004,3.3759681191705,3.54122099847051,3.66285088973698
"90","2022/7/1",0,0,NA,NA,3.39206464567763,3.5501109536843,3.66952271895363
"91","2022/7/2",0,0,NA,NA,3.41106025397462,3.55996932693255,3.67965906760776
"92","2022/7/3",3,0,NA,2.698970004,3.42718447304811,3.5706444722362,3.6895872106425
"93","2022/7/4",0,0,NA,NA,3.44703050770985,3.58342176987846,3.70041473897834
"94","2022/7/5",3,1,4.194874089,3.197604699,3.46694298164451,3.59712088898276,3.71404057505783
"95","2022/7/6",0,0,NA,NA,3.48538221170085,3.61232659857244,3.73001105462272
"96","2022/7/7",3,1,4.105140908,3.167693639,3.50810678147148,3.62775447141639,3.74474655869074
"97","2022/7/8",0,0,NA,NA,3.5244659610087,3.6440344451117,3.76356625727796
"98","2022/7/9",0,0,NA,NA,3.54374137527124,3.65964636705441,3.78253920355428
"99","2022/7/10",3,2,3.635062199,3.323031468,3.56098281869931,3.67528378741039,3.80195287155132
"100","2022/7/11",0,0,NA,NA,3.57677094722346,3.69022077031698,3.81931764535501
"101","2022/7/12",3,3,4.354627107,4.354627107,3.59127885075664,3.70397344929352,3.83706715546303
"102","2022/7/13",0,0,NA,NA,3.60235938561206,3.71697693569758,3.85434102655281
"103","2022/7/14",3,2,3.902195958,3.50112064,3.61343218143765,3.72832499668317,3.86926531263539
"104","2022/7/15",0,0,NA,NA,3.62289786703388,3.73863141895708,3.88168949112379
"105","2022/7/16",0,0,NA,NA,3.62932176116818,3.74696357718946,3.89338343762878
"106","2022/7/17",3,3,3.859207747,3.859207747,3.63530494659339,3.75387276192524,3.90044407647958
"107","2022/7/18",0,0,NA,NA,3.64157497836726,3.75860052616295,3.90702144053579
"108","2022/7/19",3,3,3.753388713,3.753388713,3.64729660581837,3.7623836160541,3.90893560095651
"109","2022/7/20",0,0,NA,NA,3.65029305436961,3.7657868839607,3.90936053861618
"110","2022/7/21",3,2,3.728632583,3.385411724,3.6511497381052,3.76673323602617,3.90720391182962
"111","2022/7/22",0,0,NA,NA,3.65213603577705,3.76698034375831,3.90579380877187
"112","2022/7/23",0,0,NA,NA,3.6509879982722,3.76605420521019,3.90401289708602
"113","2022/7/24",3,1,4.258411675,3.218783895,3.64717483983758,3.76358803508063,3.90155745318077
"114","2022/7/25",0,0,NA,NA,3.64540109355112,3.76185041069183,3.89562697808387
"115","2022/7/26",3,2,3.641352956,3.327225305,3.64357503225126,3.75858652661329,3.88937046999324
"116","2022/7/27",0,0,NA,NA,3.64158720207022,3.75472939519956,3.88262811492371
"117","2022/7/28",3,3,3.805553731,3.805553731,3.63730261465533,3.75026841364102,3.87547417164064
"118","2022/7/29",0,0,NA,NA,3.63218423781464,3.74546106467632,3.86980121070741
"119","2022/7/30",0,0,NA,NA,3.62498923361073,3.74013458350065,3.86281641602771
"120","2022/7/31",3,3,4.042759325,4.042759325,3.61772995907839,3.73395984965186,3.85563643143838
"121","2022/8/1",0,0,NA,NA,3.6083388714153,3.72796076671082,3.84732878669189
"122","2022/8/2",3,1,3.924888162,3.10760939,3.60174013766384,3.72160689208484,3.8403332176577
"123","2022/8/3",0,0,NA,NA,3.5929317134525,3.71581284124549,3.83468768237759
"124","2022/8/4",3,1,3.815486402,3.071142137,3.58674381102668,3.71016658617973,3.82975573021769
"125","2022/8/5",0,0,NA,NA,3.58180866655222,3.7059791586255,3.82443858656551
"126","2022/8/6",0,0,NA,NA,3.57727640290267,3.7026753491769,3.82151556046421
"127","2022/8/7",3,0,NA,2.698970004,3.57237998814021,3.6997808618436,3.81946355223108
"128","2022/8/8",0,0,NA,NA,3.57001674400052,3.69838204734767,3.81849874730883
"129","2022/8/9",3,1,4.27242221,3.223454073,3.56924233404263,3.6977915322808,3.81606223326184
"130","2022/8/10",0,0,NA,NA,3.57275390113401,3.69926820711702,3.81659675939408
"131","2022/8/11",3,2,3.824842081,3.449551389,3.57297098518196,3.70053980034508,3.81655294283505
"132","2022/8/12",0,0,NA,NA,3.57511875332899,3.70342638558191,3.8191903616239
"133","2022/8/13",0,0,NA,NA,3.57877427310995,3.70606187318148,3.82133305580278
"134","2022/8/14",3,3,3.823899053,3.823899053,3.58432239327692,3.70824100332219,3.8235900948971
"135","2022/8/15",0,0,NA,NA,3.5870890094648,3.71142272021873,3.8280245602736
"136","2022/8/16",3,1,4.129801785,3.175913931,3.58882315637023,3.71485945772876,3.83086833785196
"137","2022/8/17",0,0,NA,NA,3.59369496319166,3.71870646319586,3.83309793996423
"138","2022/8/18",3,3,3.722948583,3.722948583,3.59928934501787,3.72263441478832,3.83708262476613
"139","2022/8/19",0,0,NA,NA,3.60340078342097,3.72675061331942,3.8416458903774
"140","2022/8/20",0,0,NA,NA,3.60698341171773,3.72958858554587,3.84582244866613
"141","2022/8/21",3,2,3.754687894,3.402781931,3.61094190565602,3.73357739108364,3.84898131369976
"142","2022/8/22",0,0,NA,NA,3.61584235866263,3.7369833669469,3.85251549879484
"143","2022/8/23",3,2,3.806014076,3.436999385,3.62190678590993,3.74194409947978,3.85823537440198
"144","2022/8/24",0,0,NA,NA,3.62858817161851,3.74753532173683,3.86525706212563
"145","2022/8/25",3,1,3.652954506,3.016964838,3.63535743623246,3.75284368710207,3.87223755091857
"146","2022/8/26",0,0,NA,NA,3.6415765552936,3.75880441443062,3.88037621825339
"147","2022/8/27",0,0,NA,NA,3.65059215893737,3.765640188129,3.88536121554056
"148","2022/8/28",3,0,NA,2.698970004,3.66035668465094,3.77247006920356,3.89174228302524
