"","date","count","positive","concentration","substitution","low_7_a","med_7_a","upr_7_a"
"162","2022/6/11",6,5,3.516414456,3.380173714,3.35470541368279,3.40834449824342,3.46089123484007
"163","2022/6/12",6,3,3.415819087,3.057394546,3.35260960699725,3.40553717616024,3.45811744070499
"164","2022/6/13",6,3,3.356388995,3.0276795,3.34880974270831,3.4027635194007,3.45572370723705
"165","2022/6/14",6,2,3.281148291,2.893029433,3.34644501441146,3.40026537232875,3.45368883751026
"166","2022/6/15",6,3,3.437835571,3.068402788,3.34390419466287,3.39827113490318,3.45264908155555
"167","2022/6/16",6,5,3.46282465,3.335515542,3.34241222299796,3.3971259941085,3.45147082334293
"168","2022/6/17",6,5,3.297224992,3.197515827,3.34113960166233,3.39625689489076,3.45051616671498
"169","2022/6/18",6,3,3.394465349,3.046717677,3.34161787525899,3.39534151901932,3.44957575830035
"170","2022/6/19",6,2,3.539605918,2.979181976,3.34085396826264,3.39547067437764,3.44936752698658
"171","2022/6/20",6,4,3.575949313,3.283622877,3.34208175026539,3.39616715972425,3.4507286656113
"172","2022/6/21",6,4,3.858096746,3.471721165,3.34314037203891,3.39730091311281,3.45274445863119
"173","2022/6/22",6,2,3.718842395,3.038927468,3.34458697782979,3.39903399440504,3.45512022070821
"174","2022/6/23",6,4,3.570333611,3.279879075,3.34687766837148,3.40119521280475,3.45606715480321
"175","2022/6/24",6,5,3.467778685,3.339643905,3.34824127594437,3.40314455751704,3.45776503861282
"176","2022/6/25",6,5,3.630165595,3.47496633,3.35046419367557,3.40477700375878,3.46019732563249
"177","2022/6/26",6,6,3.530920954,3.530920954,3.35106979821269,3.40557682795638,3.46080005945801
"178","2022/6/27",6,2,3.550760086,2.982900032,3.35157469388653,3.40563227113338,3.46159426025544
"179","2022/6/28",6,4,3.319576354,3.112707571,3.35200833530902,3.40596550820749,3.46108728650768
"180","2022/6/29",6,3,3.167502715,2.93323636,3.35150978030687,3.40587787494271,3.46053924744669
"181","2022/6/30",6,4,3.575945196,3.283620132,3.35232756064861,3.40576918721538,3.46028351081181
"182","2022/7/1",6,4,3.09026478,2.959833188,3.35195006280213,3.405593758834,3.46030825120816
"183","2022/7/2",6,4,3.257612095,3.071398065,3.35279402938018,3.40552674163782,3.46057761457778
"184","2022/7/3",6,5,3.254994103,3.16232342,3.35257085497572,3.40542982403727,3.46173598312653
"185","2022/7/4",6,4,3.219109883,3.045729923,3.35296350137506,3.40582670721633,3.46203440199037
"186","2022/7/5",6,4,3.080365742,2.95323383,3.35371522927253,3.40642551256641,3.46284443782296
"187","2022/7/6",6,5,3.468385501,3.340149585,3.35433828882596,3.40712591209706,3.46269040972364
"188","2022/7/7",6,3,3.474880809,3.086925407,3.35347316705961,3.40770440091562,3.46273228693015
"189","2022/7/8",6,3,3.356470862,3.027720433,3.35502638283787,3.40824955496792,3.46381168607024
"190","2022/7/9",6,5,3.450631446,3.325354539,3.35627797218116,3.40919471673279,3.46527063204314
"191","2022/7/10",5,5,3.368352903,3.368352903,3.35699563317802,3.41033498332529,3.4660676716945
"192","2022/7/11",6,3,3.249441305,2.974205655,3.3585840984471,3.41189728158209,3.46795485127851
"193","2022/7/12",6,5,3.382222264,3.268346888,3.36043149131038,3.4141176032896,3.47010202640953
"194","2022/7/13",6,3,3.445442309,3.072206157,3.36278260637939,3.4158889792555,3.47200476121933
"195","2022/7/14",6,2,3.515126715,2.971022241,3.36483756549926,3.4181506164272,3.47422503931361
"196","2022/7/15",6,3,3.504260985,3.101615495,3.36738109747947,3.42061112907916,3.47679533088589
"197","2022/7/16",6,5,3.548286401,3.406733669,3.37003390907202,3.42366598762834,3.48009177338675
"198","2022/7/17",6,4,3.226957877,3.050961919,3.37331416818964,3.42684135915095,3.48303927371495
"199","2022/7/18",6,5,3.832800266,3.643828556,3.37575203239768,3.42956459331656,3.48633286854189
"200","2022/7/19",6,6,3.524234992,3.524234992,3.37847101523588,3.43191722183111,3.48913952002647
"201","2022/7/20",6,3,3.355619848,3.027294926,3.38058145810384,3.43448613903541,3.49081981772142
"202","2022/7/21",6,2,3.510109437,2.969349815,3.38355571857691,3.43747782626173,3.49302392048026
"203","2022/7/22",6,4,3.404860904,3.169563938,3.38703206084744,3.44115864353263,3.49721667330321
"204","2022/7/23",6,3,3.399649281,3.049309642,3.39058907770576,3.4448331700389,3.50128111954562
"205","2022/7/24",6,4,3.538507606,3.258661739,3.39539771971489,3.44879242052657,3.50623236074318
"206","2022/7/25",6,5,3.377696618,3.264575516,3.39966124608717,3.45326561547439,3.50937349517985
"207","2022/7/26",6,6,3.433950023,3.433950023,3.40417566430072,3.45784563298035,3.5142830159372
"208","2022/7/27",6,5,3.334772097,3.228805082,3.40894332807873,3.46245905290242,3.5183576533107
"209","2022/7/28",6,4,3.688215683,3.358467123,3.41318251445909,3.46703557859407,3.52257823325453
"210","2022/7/29",6,5,3.673317995,3.510926664,3.41848576349742,3.47168939746731,3.52697903766176
"211","2022/7/30",6,4,3.458380526,3.205243686,3.42320891174463,3.47635470485236,3.53129572637066
"212","2022/7/31",6,4,3.501867056,3.234234705,3.42673823720706,3.48019863176174,3.53501029101466
"213","2022/8/1",6,5,3.660819632,3.500511361,3.4313053540471,3.4840556920649,3.53984992577805
"214","2022/8/2",5,5,3.306493013,3.306493013,3.4354814287603,3.48788288635049,3.54428315477248
"215","2022/8/3",6,5,3.413932205,3.294771838,3.4405694692502,3.49165374327059,3.54767925661488
"216","2022/8/4",6,6,3.389118276,3.389118276,3.44307933130844,3.49492655514154,3.55132468807599
"217","2022/8/5",6,6,3.566973271,3.566973271,3.44615850694307,3.49823426668992,3.55396268586922
"218","2022/8/6",6,3,3.581121586,3.140045795,3.44819679523993,3.50104787816246,3.55670545275735
"219","2022/8/7",6,3,3.726029215,3.21249961,3.45026332597671,3.50435177907393,3.56007153029845
"220","2022/8/8",6,4,3.558090297,3.271716866,3.45442791349605,3.50768499410385,3.56345865161101
"221","2022/8/9",6,6,3.506158586,3.506158586,3.45671668581116,3.51102722162586,3.56687542293723
"222","2022/8/10",6,6,3.697743487,3.697743487,3.46005775021762,3.51367715827871,3.56959529390923
