"","date","count","positive","concentration","low","median","upr"
"103",2022-04-13,5,4,3.54294731805555,3.49298032744508,3.54635398130733,3.6011451268258
"104",2022-04-14,5,5,3.65413882903516,3.50058717173737,3.55344566822311,3.6079271379279
"105",2022-04-15,5,5,3.55906116002501,3.50732496105817,3.55995837794657,3.61461664166942
"106",2022-04-16,5,4,3.37042201606537,3.51352329705823,3.56665274068912,3.62109212199803
"107",2022-04-17,5,4,3.48702279999687,3.52009389839122,3.57315751472621,3.62855991132659
"108",2022-04-18,5,5,3.6823682769803,3.52634638102731,3.57926034394134,3.63561354197438
"109",2022-04-19,5,5,3.49677641799545,3.53151940860147,3.58538810002413,3.64203083364653
"110",2022-04-20,5,4,3.65916424995249,3.53745390449285,3.59105200713702,3.6475138273175
"111",2022-04-21,5,5,3.46046945595803,3.54186205541089,3.59628374337442,3.65128479288705
"112",2022-04-22,5,5,3.61841298798427,3.54669087983698,3.60124691470546,3.6566422635462
"113",2022-04-23,5,5,3.62407256701813,3.55073853599828,3.605997887816,3.66092041882883
"114",2022-04-24,5,4,3.58164003798738,3.55635238044175,3.61015743763939,3.66481940808402
"115",2022-04-25,5,5,3.40952018306311,3.56067699503058,3.61398313954171,3.669454869774
"116",2022-04-26,5,4,3.58851500699555,3.56338544416707,3.61789288379936,3.67251842253657
"117",2022-04-27,5,5,3.63182447004384,3.56695406407822,3.6212879003193,3.67628869303438
"118",2022-04-28,5,5,3.78753280799812,3.57042766379197,3.62423954400761,3.67931178282335
"119",2022-04-29,5,5,3.72226882702078,3.57150188419585,3.62655295208919,3.68219000771883
"120",2022-04-30,5,4,3.69848993298553,3.57235743003646,3.62815254506742,3.68326023549765
"121",2022-05-01,5,5,3.664296671028,3.5731391371981,3.62893481518219,3.68405238362798
"122",2022-05-02,5,5,3.46229799292669,3.57401195184483,3.6291964356074,3.68410295318714
"123",2022-05-03,5,4,3.64929031300441,3.57459773765781,3.62958069626032,3.6848406191897
"124",2022-05-04,5,4,3.72606532803569,3.57478548043028,3.6298530436115,3.68481381615513
"125",2022-05-05,4,4,3.73187775701476,3.57458848011266,3.62960737260454,3.68465514852849
"126",2022-05-06,5,5,3.68642015301095,3.57415876266951,3.62925478985454,3.68468543872768
"127",2022-05-07,5,5,3.6193750329941,3.57514393224625,3.62887187619536,3.68555643759288
"128",2022-05-08,5,5,3.52728527199234,3.5750667366727,3.62920176030222,3.68532162018476
"129",2022-05-09,5,5,3.47868000995221,3.57544585082729,3.62992631783688,3.68569585867125
"130",2022-05-10,5,4,3.47681252101793,3.57644975258988,3.63072575316695,3.68701776076323
"131",2022-05-11,5,4,3.51370314793418,3.57845431568463,3.632552372658,3.68910401940071
"132",2022-05-12,5,5,3.42862671600838,3.5814633787951,3.63522181721879,3.69220066700044
"133",2022-05-13,5,5,3.550575964016,3.58451386190717,3.63854659397838,3.69578540765414
"134",2022-05-14,5,5,3.62967929795401,3.5880154219946,3.64260928508892,3.69999933065312
"135",2022-05-15,5,5,3.81274758199772,3.59230385988424,3.64690891360987,3.70471248294133
"136",2022-05-16,5,5,3.46694471293612,3.59584819250697,3.65168252791586,3.7083999830249
"137",2022-05-17,5,5,3.50433150596313,3.60026259797389,3.65671845264729,3.71372235507244
"138",2022-05-18,5,5,3.70452100996295,3.60500702475808,3.66202225659053,3.71780410496235
"139",2022-05-19,5,5,3.76689440603519,3.61035852300033,3.66715055382188,3.72201695319967
"140",2022-05-20,6,6,3.7451944390073,3.61562434908981,3.67270271529974,3.72755202011873
"141",2022-05-21,6,6,3.50998366094874,3.62135644552139,3.67791510766053,3.7331595229252
"142",2022-05-22,6,5,3.34919157393078,3.62666253020256,3.68325242872308,3.73784685430045
"143",2022-05-23,6,6,3.58956188199833,3.63221269488539,3.6889381426299,3.74365654097268
"144",2022-05-24,6,6,3.66451336596118,3.63701529871725,3.69424232523683,3.75020297310962
"145",2022-05-25,6,6,3.75242487598611,3.64248126739106,3.69852726112644,3.75529966761384
"146",2022-05-26,6,6,3.82378848003099,3.64612605484781,3.70245303472407,3.75961131772317
"147",2022-05-27,6,5,3.94842761201522,3.6493428195503,3.7054710425654,3.76273916680663
"148",2022-05-28,6,6,3.8225604190182,3.65263874828098,3.70795687289223,3.76626996120993
"149",2022-05-29,6,6,3.79970920897804,3.65253260474849,3.70917715877684,3.76795274251719
"150",2022-05-30,5,4,3.79214686796626,3.6521443595337,3.70964218662452,3.76881825589444
"151",2022-05-31,6,6,3.53549633795136,3.65138071711258,3.7094842487376,3.76859506785357
"152",2022-06-01,6,6,3.67465520796528,3.64900079851575,3.70854692218476,3.76815066754429
"153",2022-06-02,6,6,3.76544061601962,3.64611024197483,3.7063508146371,3.76606729989939
"154",2022-06-03,6,5,3.82090023197049,3.64460655091231,3.70354357496279,3.76293208398266
"155",2022-06-04,6,5,3.8406863740279,3.64136415368151,3.69990219604871,3.7589112552388
"156",2022-06-05,6,6,3.83685783201384,3.63768995311661,3.69594095372791,3.75497851865618
"157",2022-06-06,6,6,3.48431763594284,3.63349887126425,3.69140131425287,3.75000737712468
"158",2022-06-07,6,6,3.58782843398032,3.62817969870558,3.68608565074113,3.74617137292209
"159",2022-06-08,6,6,3.68624699899295,3.62313508381717,3.68065664847861,3.73954395503136
"160",2022-06-09,6,6,3.74427114898607,3.61733508858835,3.67488008984143,3.73404950766339
"161",2022-06-10,6,6,3.57718363396391,3.61155960781393,3.66957080764956,3.7283452127582
"162",2022-06-11,6,6,3.46691581502929,3.60603905512658,3.66384225080861,3.72265349922763
"163",2022-06-12,6,4,3.50805652603291,3.60045697959076,3.6587244907739,3.7184166976213
"164",2022-06-13,6,6,3.5646048910454,3.59547827906262,3.65337257589517,3.71327239019939
"165",2022-06-14,6,6,3.6487165050093,3.59000228686085,3.64847824595637,3.7086283264114
"166",2022-06-15,6,6,3.8580706229715,3.5860574479266,3.64334074491718,3.70424795192189
"167",2022-06-16,6,6,3.59216429596442,3.58064962536297,3.63906685146508,3.6989093530217
"168",2022-06-17,6,5,3.55188171504901,3.57685673972575,3.6351979089992,3.69492707056684
"169",2022-06-18,6,5,3.48067327000014,3.57237375116496,3.6314857153733,3.69122238639112
"170",2022-06-19,6,4,3.61265765603026,3.56871443581278,3.62821382852137,3.68790482028077
"171",2022-06-20,6,4,3.50793293702247,3.56571011232961,3.62574770966799,3.68442059073776
"172",2022-06-21,6,5,3.91833210901424,3.56264222333853,3.62321405116687,3.68158613615528
"173",2022-06-22,6,5,3.70910886798921,3.56078409091922,3.62070176616642,3.67971336666996
"174",2022-06-23,6,5,3.77640341802009,3.55966716958155,3.61823561999573,3.67738730729152
"175",2022-06-24,6,6,3.58990396395595,3.55902715363877,3.61600355902935,3.67483993318591
"176",2022-06-25,6,6,3.51790323297705,3.55738070921776,3.61325738522484,3.67170457532394
"177",2022-06-26,6,6,3.53174755301378,3.55477261487361,3.61024332754222,3.66807676641598
"178",2022-06-27,6,5,3.58139905497004,3.55195221282072,3.60690615767121,3.66533165893299
"179",2022-06-28,6,5,3.76201446596924,3.5485438003716,3.60311665372664,3.66104579044826
"180",2022-06-29,6,5,3.82770357301609,3.54408416484347,3.59853877550075,3.65684831915039
"181",2022-06-30,6,4,3.85087633197796,3.53922849773679,3.59405026941279,3.65282587774333
"182",2022-07-01,6,6,3.78968953498245,3.53431383262645,3.58883250798848,3.64811886808969
"183",2022-07-02,6,5,3.68975025796139,3.52839210052525,3.58316925233313,3.64256886011281
"184",2022-07-03,6,5,3.38796688696242,3.52322455852871,3.57705532965434,3.63611785912498
"185",2022-07-04,6,5,3.68625549000431,3.5160321453781,3.57042696731674,3.62974302810097
"186",2022-07-05,6,5,3.51392363004511,3.50754291217022,3.56415593928176,3.62160941661609
"187",2022-07-06,6,5,3.37573505693239,3.50046997650919,3.557342444912,3.61342643059165
"188",2022-07-07,6,6,3.62350970699552,3.49323987781767,3.55011858861963,3.60681886374779
"189",2022-07-08,6,6,3.59770198400666,3.48590573092957,3.5423515902843,3.60087702779196
"190",2022-07-09,6,6,3.42938196005988,3.47746388535989,3.53414109814377,3.59385418239163
"191",2022-07-10,5,5,3.56136083395523,3.46823738130289,3.52587958972878,3.58709803604756
