"","date","count","positive","concentration","low","median","upr","low_observed","median_observed","upr_observed"
"88",2022-03-29,5,5,3.61516473797442,3.36580195584652,3.42438660286726,3.48193916850131,3.13802154297262,3.42366038193509,3.70853342655813
"89",2022-03-30,5,4,3.35556244894553,3.37677614182212,3.43467498140702,3.49173553336618,3.15000128612191,3.42977215553016,3.71417082985675
"90",2022-03-31,4,4,3.56950876801517,3.38644881406776,3.44490368883974,3.50147359244369,3.1599237354744,3.43817981592427,3.72448117901676
"91",2022-04-01,5,5,3.43593854306988,3.39645212039173,3.45422653860948,3.5113420744834,3.18045723051198,3.45531150010726,3.73941928069567
"92",2022-04-02,5,4,3.33869794699672,3.40681529369494,3.46309029490353,3.51975472358701,3.18701286375742,3.4628482613761,3.73222093431838
"93",2022-04-03,4,3,3.22413683305299,3.41551038706839,3.47076897234384,3.52864699568461,3.18836806756132,3.47089146410136,3.76255732951784
"94",2022-04-04,5,5,3.34550752597883,3.42381226474396,3.47878323812596,3.53535056115662,3.18804322697229,3.4751110324323,3.76464174731345
"95",2022-04-05,5,4,3.3792193119861,3.43188364015639,3.48632167042938,3.54249884538515,3.21105930062366,3.48852466780552,3.76581410273626
"96",2022-04-06,4,3,3.63556455205025,3.44032077988098,3.49417473335586,3.5503934526432,3.21911327577779,3.49470845823344,3.76852590072643
"97",2022-04-07,5,4,3.35751216198799,3.44827411105019,3.5018357193008,3.5576674189915,3.22189592955241,3.49847449992215,3.78600395337927
"98",2022-04-08,5,5,3.50107450705651,3.45572431304151,3.50959656313086,3.56473440334751,3.23475879035516,3.50910251667371,3.7893620150455
"99",2022-04-09,5,5,3.25644143093322,3.46295065334471,3.51705351312123,3.57219369138184,3.23236169364047,3.51859984859644,3.79332487732082
"100",2022-04-10,5,3,3.62267677602922,3.47047928902632,3.52453927585258,3.57991702596195,3.25767369224105,3.52806107692418,3.80974732118577
"101",2022-04-11,5,4,3.63180629404232,3.47790928414653,3.5322978756945,3.58747219819754,3.26244234956516,3.53210452404071,3.81853160149443
"102",2022-04-12,5,5,3.50644255904752,3.48516971691641,3.53981794336092,3.59419543867258,3.26643155484747,3.54341300714665,3.81913902842071
