"","time","incidence_2","wastewater","measured_ww","logWW","ND","ND_2","low_3_a","med_3_a","upr_3_a","error"
"107",126,1.794692179,73.36979517,1.019188822,1.865517307,0,0,-0.603065410405713,1.38231115431738,2.48575984148228,0.483206152682618
"108",127,2.033540627,81.90197013,2.014280993,1.913294349,0,0,-0.450499780806718,1.39909811090253,2.47733154614268,0.514196238097467
"109",128,2.304152992,91.97611141,1.739446534,1.963675044,0,0,-0.632794814870604,1.37771936908327,2.48279712678686,0.58595567491673
"110",129,2.610746764,103.6630057,2.267869275,2.015623797,0,0,-0.54680316077991,1.37931883042046,2.49201944122648,0.636304966579539
"111",130,2.958097565,117.0869992,2.210461829,2.068508676,0,0,-0.461830501233326,1.43324882512793,2.48888331992583,0.635259850872074
"112",131,3.351612425,132.4185158,1.87827816,2.121948716,0,0,-0.6235260288975,1.41203658086918,2.50708608576647,0.70991213513082
"113",132,3.797412577,149.8703792,2.448863988,2.175715806,1,0,-0.594286647861947,1.39764170175226,2.48423274566597,0.778074104247736
"114",133,4.302426902,169.6968559,2.558513599,2.229673796,0,0,-0.628915973834934,1.40918287811839,2.48407288056537,0.820490917881613
"115",134,4.874497355,192.1947179,1.993676351,2.283741448,0,2,2.07845428461507,2.63934725536078,3.01492252230711,0.355605807360783
"116",135,5.522497831,217.7058778,2.381459738,2.337870155,0,0,1.83986657728624,2.493733903606,2.91392454532712,0.155863748606
"117",136,6.256468078,246.6213214,2.454101853,2.39203062,0,1,2.03036591729189,2.5776399656226,2.95751523302241,0.185609345622603
"118",137,7.087007724,279.386186,2.241913021,2.446204929,0,0,1.7299619146176,2.38679034860695,2.83022313541986,0.0594145803930526
"119",138,8.028466738,316.4921162,2.422094001,2.500362896,0,2,2.22198941863348,2.67333750247747,3.02394437585656,0.17297460647747
"120",139,9.094550392,358.5303097,3.126682932,2.554525876,0,2,2.36862276866106,2.777680164024,3.10944859704887,0.223154288023998
"121",140,10.30159181,406.1469425,2.597973463,2.608683188,0,3,2.5899053236928,2.60985137798292,2.62949100389834,0.00116818998292345
"122",141,NA,NA,NA,2.662826706,NA,0,2.29039296676336,2.52989660353928,2.76241221718793,0.132930102460719
"123",142,NA,NA,NA,2.716953149,NA,1,2.07438492408629,2.49045668751705,2.84958028510107,0.226496461482952
"124",143,NA,NA,NA,2.771059125,NA,1,1.99704987903419,2.49309916313012,2.86877630151402,0.277959961869877
"125",144,NA,NA,NA,2.825141752,NA,0,1.59707379130682,2.25706658636484,2.72896577905542,0.568075165635158
