date,concentration_north_1,low_north_1,med_north_1,upr_north_1,concentrationnorth_2,low_north_2,med_north_2,upr_north_2
2022/3/27,NA,3.114573756,3.534008633,3.877133532,NA,3.182356334,3.568346227,4.00703748
2022/3/28,NA,3.120972753,3.539903455,3.878125456,NA,3.186323473,3.57448779,4.013159862
2022/3/29,NA,3.12618391,3.544537257,3.882272047,NA,3.191835888,3.580935077,4.016983425
2022/3/30,NA,3.129931009,3.549484489,3.88396633,NA,3.19836072,3.589329257,4.021343011
2022/3/31,NA,3.1384789,3.554757216,3.887849628,NA,3.203653409,3.596126563,4.026092337
2022/4/1,NA,3.146219143,3.561391092,3.890884763,NA,3.21294997,3.603336306,4.028983338
2022/4/2,NA,3.153796379,3.5647477,3.894573724,NA,3.218313968,3.609599768,4.034014771
2022/4/3,NA,3.160011329,3.570120553,3.900987201,NA,3.224905399,3.61719851,4.040351199
2022/4/4,NA,3.16500345,3.576025267,3.905438887,NA,3.234326609,3.623854839,4.042048065
2022/4/5,NA,3.171680857,3.583127951,3.906765891,NA,3.242218905,3.631753664,4.043969596
2022/4/6,NA,3.179969664,3.590339704,3.911717678,NA,3.249937542,3.638545336,4.045002887
2022/4/7,NA,3.188484641,3.596531464,3.915492785,NA,3.261875395,3.646951073,4.048107254
2022/4/8,NA,3.197267268,3.603421258,3.919948224,NA,3.27318375,3.656101898,4.052523307
2022/4/9,NA,3.210192273,3.609811323,3.924368413,NA,3.279970127,3.666011432,4.055244213
2022/4/10,NA,3.221023241,3.616356222,3.93262797,NA,3.28788853,3.673245612,4.060389693
2022/4/11,NA,3.233390963,3.623504172,3.937816713,NA,3.298380368,3.681089024,4.068124591
2022/4/12,NA,3.242962795,3.630870605,3.948459544,NA,3.313244943,3.690807724,4.071184749
2022/4/13,NA,3.250742422,3.63865208,3.952191272,NA,3.326004394,3.699929687,4.071737434
2022/4/14,NA,3.260551792,3.648498092,3.961518436,NA,3.337080087,3.707508132,4.076534343
2022/4/15,NA,3.270925301,3.656281192,3.966242076,NA,3.346086074,3.717777603,4.081151478
2022/4/16,NA,3.27767944,3.664956361,3.969061133,NA,3.35453345,3.727538823,4.082628059
2022/4/17,NA,3.288848471,3.673071845,3.979983119,NA,3.366536804,3.736891319,4.08611544
2022/4/18,NA,3.301271784,3.683697053,3.987316136,NA,3.379610445,3.746806386,4.08971949
2022/4/19,NA,3.311030287,3.693139581,3.992541806,NA,3.392738451,3.755932332,4.094989329
2022/4/20,NA,3.331870159,3.703261368,4.002761565,NA,3.406712741,3.765599712,4.101333146
2022/4/21,NA,3.342380228,3.714312889,4.006049724,NA,3.419362338,3.774570995,4.106403605
2022/4/22,NA,3.356219805,3.725267215,4.015089413,NA,3.432353541,3.784209131,4.110390231
2022/4/23,NA,3.370806963,3.73607797,4.021576692,NA,3.442918987,3.793381764,4.112665337
2022/4/24,NA,3.382375875,3.747535521,4.031359316,NA,3.459125746,3.802609851,4.11620538
