"","ww","lower","median","upper"
"45",132.528152154733,3.20924310456127e-07,3.1908501890079e-05,0.000813271529215166
"46",145.780967370207,4.52866930870614e-07,4.07634079262636e-05,0.0009676308997016
"47",160.359064107227,6.37313157268498e-07,5.19816987368056e-05,0.00115066963681568
"48",176.39497051795,8.97915003687891e-07,6.63091005165262e-05,0.00136745429909859
"49",194.034467569745,1.26243644488377e-06,8.45896565493098e-05,0.00162529475528692
"50",213.43791432672,1.77661431375246e-06,0.000107895900955981,0.0019333982476364
"51",234.781705759392,2.50449103399385e-06,0.000137572603538681,0.00229712637187245
"52",258.259876335331,3.52279498285756e-06,0.000175603882823425,0.00272952618608427
"53",284.085863968864,4.94343552581785e-06,0.000224010494965634,0.00324765144126939
"54",312.49445036575,6.9439556884531e-06,0.00028549811426299,0.00386898056156121
"55",343.743895402325,9.74579540123737e-06,0.000364075634339554,0.00460391402362466
"56",378.118284942558,1.37527808427988e-05,0.000464373804103983,0.00547787747568298
"57",415.930113436814,1.93598233054651e-05,0.000591988249550244,0.00651773742418636
"58",457.523124780495,2.71714892514858e-05,0.000754910758407638,0.00776006579588197
"59",503.275437258545,3.82818224608065e-05,0.000962581018341494,0.00923964530334307
"60",553.602980984399,5.38531082683594e-05,0.00122691537676646,0.010986832766514
"61",608.963279082839,7.544176799784e-05,0.00156426787908882,0.013076521582426
"62",669.859606991123,0.000106221181064278,0.00199700618610839,0.0155606264182045
"63",736.845567690235,0.00014893287692399,0.00254608379560506,0.0185059080172139
"64",810.530124459259,0.000208819407023062,0.00324691606813854,0.0220283717250043
"65",891.583136905185,0.000292574346951348,0.00413763757205596,0.0261896083830149
"66",980.741450595704,0.000410077789909744,0.00527037839286358,0.0311291900154697
"67",1078.81559565527,0.000575489273316653,0.00671194666703465,0.0369826459743348
"68",1186.6971552208,0.000806657192796146,0.00855569133773973,0.0438829124166904
"69",1305.36687074288,0.00112679014761995,0.0108889653830282,0.0520999285055792
"70",1435.90355781717,0.00157321464911947,0.0138545646292942,0.0616962872326864
"71",1579.49391359889,0.00219875818370342,0.0176149193844418,0.0730389880376871
"72",1737.44330495878,0.00306946490069781,0.0223586259881708,0.0863945076849862
"73",1911.18763545465,0.00427562926064275,0.0283704218815149,0.101885352245635
"74",2102.30639900012,0.00596461382207701,0.0359238322767369,0.120088805907548
"75",2312.53703890013,0.00827035291528743,0.04539842762903,0.141385155000943
"76",2543.79074279015,0.0114559565615444,0.0572539378048029,0.165468316811695
"77",2798.16981706916,0.0158237945707149,0.0718886571616288,0.193249499453972
"78",3077.98679877608,0.0217630776716253,0.0898875420753013,0.224629963038068
"79",3385.78547865368,0.0297962383222915,0.111883057724148,0.2601127054332
"80",3724.36402651905,0.0405020705734931,0.138400492911853,0.300082068761322
"81",4096.80042917096,0.0548523046925775,0.169891457310113,0.344069467655887
"82",4506.48047208805,0.0737413501941443,0.207086558704667,0.392427673591801
"83",4957.12851929686,0.0979137331590859,0.24977952634776,0.443707699652013
"84",5452.84137122655,0.128705829817528,0.297765581223097,0.498338372651331
"85",5998.1255083492,0.166715793255732,0.350643994090076,0.554280330894266
"86",6597.93805918412,0.211929677990555,0.407314124727155,0.611354582554297
"87",7257.73186510254,0.263938880233451,0.466496981712703,0.667542202993953
"88",7983.50505161279,0.32193286405657,0.526762964169848,0.721142493361085
"89",8781.85555677407,0.383659254368716,0.586247532786406,0.770504896602749
"90",9660.04111245148,0.447506984101912,0.643287136664689,0.814641208417069
"91",10626.0452236966,0.510419834110907,0.69654703518084,0.852639188597581
"92",11688.6497460663,0.571068912133015,0.744980677075029,0.884685764709743
"93",12857.5147206729,0.62737947928197,0.788226042797091,0.911006957193271
"94",14143.2661927402,0.678478502024948,0.825893053022601,0.932080215252493
"95",15557.5928120142,0.724184233055373,0.85810180575937,0.948851770867676
"96",17113.3520932157,0.764742777243592,0.885230766925275,0.961865939826297
"97",18824.6873025372,0.799565466211542,0.907816595591255,0.971733253641969
"98",20707.156032791,0.829746307646183,0.926314648464081,0.979209000313819
"99",22777.87163607,0.855569915578428,0.94131794577988,0.984766952136012
"100",25055.6587996771,0.877641950707649,0.953423227127613,0.988882295540709
"101",27561.2246796448,0.896584255806732,0.963139811833654,0.991903300452152
"102",30317.3471476092,0.91280406773771,0.970889538888318,0.994128895463482
"103",33349.0818623702,0.926562958697479,0.977047960637959,0.995752371492451
"104",36683.9900486072,0.93815862111987,0.981942673969165,0.99694250359155
"105",40352.3890534679,0.948016884961323,0.985788663365813,0.997805039686824
"106",44387.6279588147,0.956239970669952,0.988840089782446,0.998422292837699
"107",48826.3907546962,0.963259791493556,0.991234607883084,0.998867953234481
"108",53709.0298301658,0.96912433851587,0.9931207608514,0.999187100339915
"109",59079.9328131824,0.974068416058338,0.994602601091679,0.999417553820973
"110",64987.9260945006,0.978235306130265,0.99576764050389,0.999582453322312
"111",71486.7187039507,0.981729934034473,0.996679711091881,0.999701484594939
"112",78635.3905743458,0.984651178108379,0.99739623995118,0.999786647853209
"113",86498.9296317804,0.987110400776543,0.997957332107121,0.999847392789067
"114",95148.8225949584,0.989174976473909,0.998397841282533,0.999891050635701
"115",104663.704854454,0.99090092396051,0.998743937189442,0.999922246311601
"116",115130.0753399,0.992372758984092,0.999015712731337,0.999944538067565
"117",126643.08287389,0.993584537281363,0.999227839797967,0.999960515266372
"118",139307.391161279,0.994607685661333,0.999394756618378,0.999971855112519
"119",153238.130277407,0.995471438823059,0.999525431970163,0.999979960417576
"120",168561.943305147,0.996197908602622,0.999627699807968,0.999985747291732
